"acidity","residualSugar","density","pH","alcohol"
6,6.3,0.9942,3.17,9.8
5.9,6.3,0.9944,3.17,9.8
7.6,17.5,0.9997,3.16,9.5
6.3,14.7,0.9977,3.23,9.5
6.7,1,0.9912,3.23,11.1
7.5,14.8,0.9982,3.06,9.5
7.5,14.8,0.9982,3.06,9.5
7.4,14.2,0.9983,3.06,9.4
8.4,13.1,0.998,3.06,9.7
5.9,2.4,0.9894,3.41,13.9
6.6,1.2,0.9927,3.22,10.1
6.4,1.1,0.9917,3.12,10.5
5.6,3.6,0.9904,3.42,12.6
8.6,6.1,0.993,2.89,10.9
6.2,6.3,0.9941,3.15,10
7.2,4.4,0.9943,3.13,11.2
7.7,13.9,0.99855,3.11,10
6.2,1,0.99345,3.14,9.2
6.1,12.1,0.998,3.35,9.5
8.2,1.6,0.9916,3.1,12.3
8.2,1.6,0.9916,3.1,12.3
6.4,7.5,0.99475,3.32,10
6,2.7,0.99325,3.41,10.8
6.2,1.7,0.9933,3.49,10.5
7.7,9.2,0.9969,3.06,9.2
7,18.75,1.0002,2.96,9.1
6.2,1.7,0.9933,3.49,10.5
7.4,1.8,0.9937,3.45,10.2
6.6,9,0.99685,3.02,8.9
6,1.5,0.99455,3.5,10.4
6.9,1.6,0.9917,3.37,11.7
6.6,1.3,0.99035,3.26,12.4
7.8,1.8,0.9914,3.14,10.9
6.4,1.2,0.99225,3.15,10.2
6.4,2.8,0.99155,3.37,11.7
7,8,0.9954,2.99,9.4
6.4,5.3,0.99455,3.35,10.5
6,0.8,0.9924,3.12,9.4
6.5,13.8,0.99695,3.35,10.4
6.2,10,0.99655,3.25,9.5
8.8,6,0.9934,3.01,11.1
6.6,14.4,0.998,3.02,9.1
6.9,9.8,0.9971,3.28,9.2
6.4,5.5,0.9948,3.14,9.6
6.6,14.4,0.998,3.02,9.1
6.9,9.8,0.9971,3.28,9.2
7.1,3.8,0.99215,3.17,10.8
6.4,5.5,0.9948,3.14,9.6
6.9,4.6,0.9915,3.31,12.6
5.8,1.5,0.99115,3.44,11
7,2,0.9932,3.28,10.2
5.9,12.5,0.9977,3.33,9.4
7.4,7.5,0.99535,3.17,10
7.4,2.1,0.99165,3.26,12.2
7,8.5,0.9953,3.22,10.5
7.2,7.6,0.9928,3.04,11.5
6.9,8.1,0.9958,3.3,9.8
7.3,7.35,0.9928,3.04,11.4
7.2,7.6,0.9928,3.04,11.5
6.9,10,0.9964,3.15,10.2
6.7,14,0.9987,3.16,9.4
7,8.5,0.9953,3.22,10.5
5.9,2.2,0.9932,3.09,9.1
7.1,1.8,0.9907,3.25,12.2
5.8,11.1,0.99755,3.42,9.5
6.8,15.2,0.99935,3.4,9.3
7.1,1.2,0.9932,3.3,9.8
7.1,1.2,0.9932,3.3,9.8
6.9,8.1,0.9958,3.3,9.8
7,8.1,0.99585,3.3,9.8
6.8,19.3,1.00055,3,8.7
5,18.6,0.9985,3.37,10.2
6.3,5,0.99505,3.22,9.5
7.2,1.6,0.992,2.94,11
6.7,13.4,0.9988,3.08,9.2
6.8,1.6,0.99175,3.21,10.9
6.7,8.8,0.9962,3.42,9.3
6.7,8.8,0.9962,3.42,9.3
6.8,5.2,0.9942,3.41,9.8
6.6,1.1,0.9927,3.12,9.3
6.6,1.1,0.9927,3.12,9.3
6.1,16.7,0.99985,3.4,9.4
9.1,10.6,0.997,3.2,10.4
6.4,2.2,0.9918,3.24,12.1
8.3,1.5,0.99215,3.02,11
7.2,13.7,0.99865,3.12,9
6.9,15,0.9992,3.37,9.5
8.1,14.1,1.0006,3.28,8.8
6,1.4,0.99135,3.37,11.2
7.8,9.5,0.99715,3.08,9.3
6.9,15,0.9992,3.37,9.5
8.1,14.1,1.0006,3.28,8.8
7.2,13.7,0.99865,3.12,9
7.6,10.6,0.99815,3.27,9.3
7.7,11,0.99815,3.27,9.2
7.7,11,0.99815,3.27,9.2
5.8,7,0.9949,3.46,10
7.6,10.6,0.99815,3.27,9.3
7.7,11,0.99815,3.27,9.2
5.9,2,0.99225,3.39,10.9
6.4,4.9,0.99445,3.1,10
5.9,2,0.99225,3.39,10.9
7.4,1.4,0.99335,3.03,9.3
7.2,7.3,0.99625,3.09,9
7.8,8.8,0.9971,3.02,9.2
6.9,12.5,0.9983,3.28,9.6
5.4,4.8,0.99445,3.42,9.4
6,1.4,0.99085,3.34,11.1
7.8,11.2,0.9977,3.06,8.9
6,6.8,0.9953,3.19,9.3
6.8,11.6,0.99775,3.07,9.3
6.6,11.4,0.99795,3.41,9.8
7.3,6.6,0.99505,3.22,9.8
7.8,11.2,0.9977,3.06,8.9
6.4,13.2,0.9975,3.17,9.6
6.2,13.1,0.99745,3.16,9.6
6,12,0.9976,3.15,9
6.2,13.4,0.99775,3.17,9.5
6,6.8,0.9953,3.19,9.3
6,1.5,0.9932,3.21,9.2
6.4,1.1,0.99405,3.42,9.1
6.5,16.5,1,3.38,9.5
7.9,15.6,0.99785,3.03,10.5
6.2,2.8,0.9939,3.01,9
8.4,5.1,0.9939,3.16,11.7
6.6,8.9,0.99675,3.2,9.1
6.2,2.8,0.9939,3.01,9
6.6,8.9,0.99675,3.2,9.1
6.6,1.6,0.98965,3.41,12.4
7.3,10.2,0.9971,2.96,9.2
6.8,5.4,0.99445,3.3,9.4
6.7,6.2,0.9945,3.34,9.6
8.4,5.1,0.9939,3.16,11.7
7,7.2,0.9958,3.26,9.8
6.8,8.1,0.9956,3.33,10.2
7.4,2,0.99055,3.28,12.5
7.1,10.7,0.9959,3.16,10.9
7.1,1.2,0.9925,3.16,11
7.3,1.7,0.9963,3.72,10.5
7.4,5.5,0.9935,3.05,11.5
7.3,2.7,0.99105,3.36,12.8
6.9,1.3,0.99045,3.18,12.2
7.3,1.7,0.9963,3.72,10.5
7.5,4.3,0.99155,3.14,12.8
7.3,2.1,0.99085,3.25,11.9
7.3,2.1,0.99085,3.25,11.9
7.3,2.1,0.99085,3.25,11.9
7.5,6,0.9924,3.16,12
7.6,6.3,0.9924,3.16,12
8.7,13.4,0.99975,3.12,8.8
8.7,13.4,0.99975,3.12,8.8
6.9,1.7,0.99315,3.21,10.8
7.3,1.6,0.9917,3.3,11
7.3,1.6,0.9917,3.3,11
6.6,15.4,0.99845,3.02,9.3
9.2,1.2,0.9921,3.08,10.8
8.7,13.4,0.99975,3.12,8.8
6,1.8,0.9909,3.31,11.5
6.9,1.7,0.99315,3.21,10.8
8.2,13.6,0.99855,3.1,9.4
6.9,1.3,0.9934,3.27,9.5
7.7,11.1,0.9978,3.06,8.6
6.9,1.3,0.9934,3.27,9.5
7.4,2.1,0.9949,3.49,10.3
8.2,13.6,0.99855,3.1,9.4
8.2,13.7,0.9986,3.1,9.4
6.7,10.2,0.99725,3.17,10
6.6,4.8,0.9946,3.18,9.4
8.1,1.7,0.99255,3.22,10.4
7.3,14.2,0.9996,3.29,9.1
4.8,6.5,0.9939,3.36,9.9
6.2,1.7,0.99,3.24,12.1
4.8,6.5,0.9937,3.35,9.9
6.1,2.2,0.9886,3.12,12.5
6.9,1.3,0.9934,3.27,9.5
7.8,12.6,1,3.24,8.5
7.3,14.4,0.9994,3.28,9
7.3,1.2,0.9926,3.19,10.1
6,9.7,0.9956,3.04,9.4
7.7,11.1,0.9978,3.06,8.6
6.3,4,0.9915,3.06,10.7
10.3,1.4,0.9939,2.89,9.6
7.7,1.3,0.9932,3.35,10.1
7.1,2.2,0.993,3.2,10
6.9,4.2,0.9898,3.28,12.7
6,1.6,0.9921,3.19,10.2
6.2,1.4,0.9932,3.23,8.9
6.9,2.2,0.9919,3.41,11.9
7.1,2.2,0.993,3.2,10
8.8,1.9,0.9953,3.19,9.9
7.4,6,0.9928,3.13,11.5
7.4,6,0.9928,3.13,11.5
6.8,12.2,0.9976,3.35,9.8
6.1,2.6,0.9906,3.4,12.2
7.3,1.6,0.9918,3.19,11.4
6.5,2,0.99185,3.37,11
7.3,1.6,0.9918,3.19,11.4
6.5,2,0.99185,3.37,11
5,6.4,0.994,3.3,9.9
5.8,1.2,0.9908,3.42,11
5.9,1,0.9928,3.58,9.4
7,1.4,0.9896,3.12,12.2
5.8,1.2,0.9908,3.42,11
5.6,1.1,0.9918,3.23,10.3
6.8,8.7,0.9952,3.22,10.5
7,1.6,0.9923,3.08,10.5
6.6,1.4,0.9915,3.05,10.9
6.8,8.5,0.9952,3.22,10.5
6.6,7.9,0.9947,3.32,11
8,13.2,0.9983,3.25,9.7
6.1,12.8,0.9975,3.08,8.9
5.9,7.7,0.995,3.2,9.6
6.9,2.4,0.9944,3.02,8.8
8.4,1.6,0.994,3.06,11.1
8.3,1.3,0.9944,3.08,10.3
7.1,2.1,0.9908,3.28,12.2
8,9.6,0.99795,3.32,9.8
7.5,13,0.9985,3.08,8.8
6.3,5.8,0.99425,3.15,9.9
6.2,5.6,0.99425,3.15,9.9
6.3,5.8,0.9943,3.15,9.9
5.8,0.8,0.9924,3.36,9.2
8,1.2,0.9946,3.24,9.5
5.6,0.8,0.9924,3.36,9.2
7.4,4.7,0.995,3.36,10.3
7.7,1.6,0.9919,2.93,11
7,1.4,0.99,3.06,11.9
8.6,1.1,0.9923,2.94,10.2
7,4.6,0.9956,3.55,9.4
7.7,10.6,0.9978,3.13,8.9
7.7,10.6,0.9978,3.13,8.9
6.5,12.9,0.9967,3.17,10
7.9,2,0.9934,3.45,10.7
6.3,2.9,0.9936,3.28,9.8
5.4,2.8,0.9932,3.36,9.3
6.7,2.9,0.9934,3.02,9.5
6.5,12,0.998,3.58,10
6.1,15,0.9978,3.15,9
7.7,5.9,0.9929,3.14,11.9
6.4,12.6,0.9974,3.08,8.9
6.5,12.5,0.99685,3.18,10
5.9,7.4,0.99495,3.26,9.6
6.2,13,0.99745,3.08,8.9
6.1,6.7,0.99505,3.12,8.9
6.4,1.4,0.992,3.08,11.4
6.1,15,0.9978,3.15,9
6.2,7.3,0.9956,3.36,10
7.7,15.3,0.9982,3.06,9.6
6.2,7.5,0.99485,3.14,9.7
6.3,11.75,0.9971,3.25,9.5
5.4,1.6,0.99265,3.54,10
6.9,3.5,0.9904,3.14,12.2
6.5,8,0.9965,3.28,8.7
6.7,5,0.9946,3.52,10.2
8.2,18.2,0.99965,2.96,9.6
8.5,1.6,0.9935,2.96,10
6.8,3.2,0.996,3.36,9.5
7.3,6.4,0.9942,3.18,11.5
7.6,1.9,0.9936,3.08,9.5
7.6,9.7,0.9965,3.08,9.8
6.5,1.4,0.9928,3.23,10.1
8.2,1.3,0.9928,2.99,10
7.6,9.7,0.9965,3.08,9.8
7.6,1.9,0.9936,3.08,9.5
7.5,1.8,0.9938,3.07,9.5
6.6,0.9,0.9926,3.39,10.2
6.6,1.1,0.9926,3.39,10.2
7.3,15.4,0.9983,3.03,9
7.3,15.4,0.9983,3.03,9
8,5,0.992,3.13,12.3
7.3,15.4,0.9983,3.03,9
6.1,4,0.9923,3.37,11.6
5.9,12.5,0.9972,3.28,9.5
8.3,3.2,0.9928,3.15,11.5
6.5,1.8,0.9928,3.13,9.6
6.8,17.5,0.9994,3.24,9
6.5,1.9,0.991,3.34,12
5.5,1.6,0.9906,3.33,11.4
5.1,1.5,0.9894,3.38,12.3
6,1.7,0.9898,3.32,12.6
6.8,17.5,0.9994,3.24,9
6.5,1.9,0.991,3.34,12
7.1,1.8,0.9925,3.32,11.7
7.6,4.3,0.9956,3.12,9.2
6.6,4.9,0.9946,3.51,10.3
6.5,7.6,0.9966,3.25,8.6
7.7,6.7,0.9951,3.39,10.7
6,1.6,0.9927,3.12,9.8
6,1.5,0.9927,3.12,9.8
7.7,6.7,0.9951,3.39,10.7
5.1,1.7,0.9894,3.5,12.5
5.7,4.2,0.9907,3.41,11.9
6.9,1.6,0.9925,3.44,10.8
6,1.9,0.9928,3.42,10.5
7.4,5.3,0.9941,3.12,10.3
7.4,5.2,0.9941,3.12,10.3
6.9,1.6,0.9925,3.44,10.8
7.7,8.9,0.9935,3.06,12
8.6,3.4,0.9932,2.95,10.2
8.2,1.3,0.9944,3.14,10.2
6.5,15.2,0.9972,3.19,9.9
7,1.3,0.994,3.38,10.1
8.6,1.8,0.9956,3.25,9.5
7.8,1.6,0.9927,3.05,10.5
6,1.3,0.9924,3.29,10.4
6.1,9.8,0.9966,3.31,9.5
8,17.45,0.9997,3.05,9.2
7.6,2.1,0.9936,3.05,10.1
8,1.8,0.9936,3.15,9.8
6.4,6.8,0.9952,3.09,9.4
6.4,7.1,0.9952,3.09,9.4
6.9,1.3,0.9928,3.31,10.4
5.8,3.3,0.9911,3.34,11.3
6.6,3.3,0.993,3.42,10.8
5.8,3.3,0.9911,3.34,11.3
5.1,2.7,0.9932,3.32,9.3
6.6,1.2,0.993,3.37,10.3
8.3,1.3,0.993,3.08,10.5
7.6,1.4,0.9932,3.11,10.3
7.7,1.7,0.9932,3.24,11.2
8.3,1.7,0.9943,3.15,10.3
6.2,11.6,0.9968,3.19,9.5
6.1,12.6,0.9994,3.66,8.9
7.6,2.8,0.9926,3.03,10.2
6.8,11.2,0.9968,2.98,9.2
7.6,1.4,0.9932,3.11,10.3
7.1,1.4,0.9916,2.95,10.5
8.3,1.5,0.9946,3.21,9.5
8.6,1.5,0.9925,3.11,11.4
8.6,1.5,0.9925,3.11,11.4
6.8,7.05,0.9935,3.25,11.1
7.6,10.6,0.9962,3.13,10.5
6.8,2.8,0.9928,3.51,12
6.2,1.6,0.993,3.38,9.7
6.6,1.6,0.993,3.32,10.2
8,8.2,0.9956,3.09,9.5
7,1.5,0.9941,3.41,10.4
6.3,11,0.9972,3.19,9.3
7.1,2.1,0.9948,3.48,10.5
6.2,7.6,0.9955,3.35,10
7.1,6.8,0.9972,3.49,10.2
7.1,6.8,0.9972,3.49,10.2
7.9,10.6,0.9983,2.87,9.1
8.8,1.8,0.9942,3.16,10.2
7.5,1.5,0.9936,3.54,10.7
7.1,6,0.9956,3.21,9.7
7.1,5.3,0.9953,3.37,9.3
7.5,1.4,0.9918,3.05,11
8.2,2.1,0.995,3.22,10.8
7.7,1,0.992,3.01,10.7
7.3,5.2,0.9952,3.24,10.7
7.5,19.45,1.001,2.95,8.8
7.2,1.6,0.9924,3.16,10.9
7.3,2,0.9932,3.14,10.5
6.5,1.3,0.9937,3.29,10
7,1.7,0.9918,3.07,10.4
8.3,1.1,0.9934,3.03,9.2
6.1,4.7,0.991,3.31,12.6
7.3,7.5,0.9962,3.1,9
6.9,1.1,0.9932,3.03,9.2
7.6,1.3,0.9908,2.99,11.3
9.4,2.2,0.9962,3.12,10.3
7,1.7,0.9918,3.07,10.4
8.6,2.2,0.9941,2.96,10
7.5,1.2,0.9931,3.51,10.7
7.2,10,0.9981,3.41,9
7.5,1.2,0.9931,3.51,10.7
5.3,1.1,0.9944,3.3,8.7
8,2,0.992,3.09,11.6
7,7.5,0.9966,3.34,9.4
6.7,4,0.9956,3.31,9.5
6.7,4.1,0.9956,3.3,9.5
8.1,1.9,0.9949,3.37,10.9
8.3,14.8,1.0002,3.22,9.7
6.4,5.5,0.9942,3.08,9.1
7.5,2.6,0.9923,3.1,11.1
8.8,6.35,0.9917,2.96,12.6
6.9,1.5,0.9931,3.35,11
8,1.6,0.992,3,11.3
8.3,14.8,1.0002,3.22,9.7
8.2,9.1,0.9953,2.96,10.9
7.7,8,0.9951,2.97,10.9
6.2,12,0.9974,3.17,9.3
6.4,3.2,0.9904,3.22,12.7
7.5,7.7,0.9974,3.37,10.1
7.8,1.3,0.9944,3.18,10
6.5,16.3,1.0004,3.49,9.8
6.3,6.2,0.9952,3.29,10.1
6.8,4.7,0.9956,3.43,9
6.3,5.8,0.995,3.28,9.4
6.3,5.8,0.995,3.28,9.4
7.4,16.95,0.9995,3.03,9.2
6.3,5.1,0.9942,3.36,10.1
7.3,10.2,0.9977,3.06,8.6
5.2,3.8,0.992,3.55,11.2
7,1.3,0.992,3.17,11.2
7.4,16.95,0.9995,3.03,9.2
7,4,0.9934,3.19,10.6
8.3,17.1,1.0006,3.01,9.3
7.2,14.5,0.9982,3.05,8.9
7.1,1.2,0.9928,3.42,10.6
8.4,6.7,0.9945,3.1,10.6
7.4,8.4,0.9963,3.09,8.8
5.3,1.3,0.9906,3.59,11
6.5,8.8,0.9956,3.32,10.2
6.3,5.1,0.9942,3.36,10.1
6.5,10.6,0.9962,3.31,10.1
5.8,2.6,0.9894,3.39,14
6.3,5.8,0.995,3.28,9.4
6.3,2.8,0.9908,3.27,11.8
6.3,1.6,0.9914,3.44,11.4
7.9,6.7,0.9938,3.12,10.7
7.3,10.2,0.9977,3.06,8.6
5.5,4.9,0.9922,3.51,11.5
5.2,3.8,0.992,3.55,11.2
7.2,2,0.9903,3.3,12.6
6.1,1.7,0.9893,3.21,12.6
9.2,2.4,0.9952,3.04,9.3
7.2,2,0.9903,3.3,12.6
8,1.3,0.9912,3.06,12.1
6.5,12,0.9983,3.52,9.9
7.4,1.6,0.9937,3.28,10.7
6.5,1.4,0.9932,3.26,10
7,2.2,0.9928,3.13,10.4
5.9,1.4,0.9922,3.29,10.5
8.1,8.3,0.9976,3.31,9.7
5.8,1.4,0.9922,3.29,10.5
6.4,12.9,0.9974,3.28,9
6.7,12.4,0.998,3.54,9.2
6,1.6,0.9931,3.17,10.1
6.6,1.45,0.9911,3.35,11.4
9.8,1.6,0.9944,2.93,10.8
9.6,1.5,0.9937,2.96,10.9
6.3,13,0.9974,3.2,9.2
6.5,1.95,0.989,3.12,12.9
6.4,5.85,0.992,3.23,12
5.7,1.3,0.9928,3.27,9.5
7.9,5.3,0.9918,3.06,11.8
6.9,1.2,0.9936,3.19,9.1
6.9,4,0.9944,3.2,9.7
6.8,14.35,0.9988,3.17,9.1
8.7,2.3,0.994,2.99,10
7.4,4.7,0.9953,3.25,10.4
6.7,12.85,0.9986,3.44,9.5
6,5.2,0.9914,3.4,12.3
6.1,8.4,0.9934,3.42,11.7
9.2,3.2,0.996,3.14,9.5
9,6.9,0.9937,2.99,11.5
8.5,1,0.9921,3.14,10.6
9.3,7.3,0.998,3.17,10.2
9.2,3.2,0.996,3.14,9.5
7.2,1.6,0.9933,3.25,10.5
7.2,1.5,0.9933,3.26,10.5
6.8,7.5,0.9959,3.14,8.9
9.1,1.1,0.9936,3.03,10.6
8.9,1.3,0.9953,3.17,9.5
7,5.7,0.9938,3.2,10.8
6.7,7.2,0.9952,3.14,9.5
6.9,7.6,0.9959,3.13,8.9
6.8,7.5,0.9959,3.14,8.9
6.1,1.3,0.9937,3.31,9.4
5.3,1.3,0.992,3.5,10.6
7.9,4.8,0.9967,3.47,9
7.6,2.1,0.9944,3.42,10.5
7.8,16.85,0.9998,3.16,9
7.8,16.85,0.9998,3.16,9
5.7,4.1,0.9942,3.27,9.4
7.8,16.85,0.9998,3.16,9
7.5,1.3,0.9945,3.29,9.6
7.8,16.85,0.9998,3.16,9
6.6,7.4,0.9946,3.15,10.2
5.7,4.1,0.9942,3.27,9.4
8.2,0.9,0.9928,3.07,10.4
6,6.3,0.9946,3.52,10.4
6.1,0.8,0.9927,3.23,9.5
7.4,1.4,0.9938,3.22,10.6
7.2,1,0.9918,3.21,11
7.5,1.3,0.9945,3.29,9.6
7.7,4.5,0.9966,3.38,9.9
8.2,5.4,0.9954,3.14,9.6
7.6,1.9,0.9913,3.01,12.8
7.4,2,0.9931,3.42,11.4
7.2,12.7,0.9986,3.41,10
6.4,8.6,0.9965,3,9.1
6.3,11.1,0.9984,3.36,9.4
6.8,2,0.9952,3.46,10.2
9.8,2.8,0.9956,2.97,9.2
7.2,4.5,0.9949,3.23,9.4
8.2,5.4,0.9954,3.14,9.6
7.5,9.1,0.996,3.12,10.1
7.4,2,0.9931,3.42,11.4
6.4,2.2,0.992,3.21,10.6
7.9,4.1,0.9912,3.18,12.8
6.5,11.8,0.9978,3.12,8.9
7.5,1.2,0.9938,3.09,9.3
6.6,2.2,0.9914,3.25,11.1
7.1,1.4,0.9932,3.13,9.9
7.6,1.6,0.9944,3.1,9.6
7.6,1.9,0.9913,3.01,12.8
6.9,5.2,0.9948,3.16,10.7
7.1,14.45,0.998,2.96,9.2
7.3,14.75,0.9998,3.36,9.1
6.2,8.3,0.9964,3.33,9.6
7.9,14.2,0.9992,3.03,9.2
6.9,5.2,0.9948,3.16,10.7
7.3,14.75,0.9998,3.36,9.1
7.1,14.45,0.998,2.96,9.2
7.4,6.9,0.9939,3,10.7
6.8,1.5,0.992,3.3,10.8
7,1.5,0.9922,3.3,10.8
6.4,7.8,0.9955,3.1,9
5,1.5,0.9917,3.48,10.7
5,1.5,0.9917,3.48,10.7
8.9,1.5,0.9954,3.19,9.4
7,15.55,0.9986,2.94,8.8
6.4,7.8,0.9955,3.1,9
6.3,1.7,0.9917,3.42,11.5
8,1.5,0.9907,3.23,12.5
9.2,1,0.9922,2.96,10.5
7.3,6.7,0.9958,3.29,9.7
7.6,1.6,0.993,3.23,11.3
5,1.5,0.9917,3.48,10.7
9.7,1.2,0.9926,2.74,10.8
8,7.1,0.9959,3.17,10.6
8.2,1,0.9906,3.04,11.7
8,12.1,0.9993,2.94,9.2
7.2,7.1,0.993,3.02,11.1
8.2,1,0.9906,3.04,11.7
6.4,1.15,0.992,3.33,11
5.9,6,0.992,3.51,12.5
7.6,1.2,0.994,3.16,10
8,7.1,0.9959,3.17,10.6
7.2,2.3,0.9908,3.26,12.3
6.8,3.4,0.9902,3.14,12.7
7.2,2.3,0.9908,3.26,12.3
6.9,6.5,0.9943,3.1,10.5
9.4,1.2,0.9921,3.23,12.5
8.3,1.15,0.9911,3.2,12.4
7.3,13,0.9986,3.06,8.7
7.9,4.5,0.992,3.17,12.4
7.9,5.85,0.992,3.16,12.6
7.7,5.2,0.9943,3.38,11
7.7,1.3,0.9937,3.42,10.1
7.8,1.7,0.993,3.03,10.5
6.8,3.4,0.9902,3.14,12.7
7.3,3.6,0.9928,3.17,10.9
7.1,2.7,0.9896,3.07,13.5
10.3,2.2,0.998,3.19,9.7
7.9,1.8,0.9954,3.45,9.2
7.4,2.1,0.9938,3.4,10.6
8.1,6.6,0.9918,2.98,13.3
7.1,2.7,0.9896,3.07,13.5
6.4,5.1,0.9944,3.29,10.1
8,17.55,0.9999,2.92,9.4
8,5.2,0.9953,3.18,10.6
7.2,1.1,0.992,3.25,11.3
7.2,1.1,0.9925,3.32,10.8
8.4,10.7,0.9981,3.15,10.4
5.3,5.15,0.9952,3.82,10.5
5.7,1.1,0.9927,3.13,9.3
5.6,1.1,0.9927,3.12,9.3
7.3,1.8,0.9911,3.29,12.2
7,1,0.9936,3.08,9.2
6.4,1.8,0.9959,3.81,10.3
7.3,1.4,0.9946,3.33,9.4
6.4,6.7,0.9948,3.28,10.2
6.9,6.8,0.9955,3.08,9
6.2,6.8,0.9951,3.06,9.3
6.4,7.1,0.9952,3.06,9.2
7.3,1.5,0.9946,3.32,9.4
7.3,1.4,0.9946,3.33,9.4
9.6,1.45,0.9944,2.92,9.5
7.2,1.2,0.9938,3.46,9.9
6.9,7.4,0.9963,3.46,11.1
7.5,4.2,0.991,2.99,12.3
8,14.6,1.0003,3.21,8.6
7.6,10.5,0.9966,3.04,9.4
8.4,13.8,0.9993,3.07,9.4
8,14.6,1.0003,3.21,8.6
8.1,1.1,0.9938,3.21,10.9
7,5.3,0.9965,3.2,9.4
8.1,1.1,0.9938,3.21,10.9
8.4,13.8,0.9993,3.07,9.4
6.2,1.5,0.9938,3.22,9.2
8,14.6,1.0003,3.21,8.6
7.6,10.5,0.9966,3.04,9.4
7,4.9,0.9942,3.33,10.8
6.6,1.9,0.9928,3.29,10.5
7.8,1.7,0.991,3.02,12.5
7.7,1.8,0.9911,2.99,12.1
7.4,10.7,0.9977,3.02,8.7
8,8.8,0.9927,3.07,12.7
7.7,1.8,0.9911,2.99,12.1
7.8,1.7,0.991,3.02,12.5
6.6,1.8,0.9912,3.06,11.4
8.3,1.6,0.9907,3.02,12.9
7.2,1.4,0.9902,3.15,12.8
6.6,1.6,0.992,3.38,11.2
8.4,1.5,0.994,3.14,9.7
7.5,9.2,0.9966,3.04,9.7
6.2,1.1,0.993,3.5,10.3
6.9,4.3,0.993,3,11.6
6.9,4.2,0.993,3,11.6
7.5,9.2,0.9966,3.04,9.7
7.5,5,0.9942,3.32,10.9
7.3,6.8,0.9925,3.19,12.6
7.3,5.2,0.9925,3.3,12.4
7.8,4.75,0.9928,2.96,11.5
9,5.9,0.995,2.93,10.2
6.9,7.7,0.9939,3.22,11.4
7.4,6.4,0.9958,3.3,9.6
8.2,8.1,0.9952,3.05,10.3
8,17.35,1,2.95,9.3
7.9,1.8,0.9948,3.33,10.7
6.8,1.8,0.99,3.13,12.8
9.7,1.5,0.9958,2.98,9.5
9.2,1.6,0.9948,3.02,10.4
9.4,1.6,0.9949,3.02,10.3
5.2,13.5,0.997,3.46,9.9
6.3,3.75,0.9927,3.23,10.7
9.6,1.3,0.9938,2.94,10.5
9.2,1.3,0.9949,3.08,9.6
6.4,6.2,0.9953,3.15,9.3
8.1,9.7,0.997,3.1,10
7.9,2,0.9932,3.04,11.2
7,1.4,0.9927,3.32,10.8
6.4,1.1,0.9932,3.54,10.3
6.4,6.6,0.9955,3.03,8.8
7.6,1.5,0.9914,3.04,12.8
7.3,4.6,0.991,3.23,13.2
5.1,0.9,0.992,3.54,10.1
6.2,1.7,0.9924,3.44,11
6.9,1.3,0.9927,3.25,10.8
7.7,2.3,0.9911,3.2,12.8
6.5,6.8,0.9958,3.12,9.2
6.8,1.5,0.9928,3.12,10.5
5.2,1.2,0.9902,3.37,11.7
8.4,2.1,0.994,2.85,9.5
8.3,2.2,0.994,2.85,9.5
6.8,8.8,0.9972,3.4,8.8
7.9,17,1.0004,3.15,9.3
7.8,1.8,0.991,3.09,12.6
9,1.2,0.9918,3.21,12.4
5.7,2.3,0.995,3.65,10.1
7.8,7,0.9941,3.26,11.2
6.7,6.4,0.9956,3.29,10
6.7,6.4,0.9956,3.29,10
8.4,12.15,0.9959,2.99,10.8
7.2,0.8,0.9922,3.27,10
7.6,2,0.9931,3.04,10.4
8.4,12.15,0.9959,2.99,10.8
6.6,12.4,0.9984,3.51,9.8
7.3,1.9,0.9908,3.26,12.2
7.3,1.1,0.991,3.39,12.7
7,6.2,0.9928,3.21,12.2
8.2,6.3,0.9936,3.15,11.9
7.8,7,0.9941,3.26,11.2
9.2,0.9,0.9924,2.96,10.4
8,3.9,0.9917,3.29,12.8
6.5,3.9,0.9906,3.28,12.7
5.7,2.3,0.995,3.65,10.1
6.7,6.4,0.9956,3.29,10
7.8,1.8,0.9955,3.43,9
7.6,1.1,0.9907,2.92,11.4
7.3,15.4,1,3.32,8.9
6.3,6.5,0.9953,3.15,9.3
6.8,2.4,0.9911,3.28,12
6.5,1.4,0.9922,3.36,10.8
6.2,5.7,0.9951,3.52,10.5
6,5.7,0.9948,3.59,10.6
6.4,1.4,0.9906,3.19,11.3
6.9,1.4,0.994,3.22,9.5
7.6,1.1,0.9907,2.92,11.4
6.7,1.2,0.9927,3.33,10.1
7,0.9,0.9914,3.25,10.9
7.6,3.8,0.9958,3.15,8.9
7.3,15.4,1,3.32,8.9
7.4,14.15,0.9984,2.9,9.3
7.6,1.9,0.9941,3.25,10.4
8.3,9.2,0.9944,3.1,12
10.7,8.2,0.998,2.87,9.5
10.7,8.2,0.998,2.87,9.5
6.9,2.7,0.9902,3.14,12.4
6.2,1.7,0.9911,3.28,11.2
6.9,1.7,0.9929,3.15,11.4
6.9,1.7,0.993,3.16,11.4
6.9,1.6,0.9918,3.35,11.1
6.9,0.9,0.992,3.1,10.4
6.9,8.5,0.9932,3.38,12
5.7,5.7,0.992,3.54,12.3
6.6,3.1,0.994,3.12,9.1
7.1,1.3,0.9923,3.24,10.5
6.8,1.6,0.993,3.23,11.4
